Grammar,Use,Meaning,Example,Link
に照らして,N＋...,Contrastando A-1 con A se realiza B,彼は社則に照らして処分された,https://jlptsensei.com/learn-japanese-grammar/に照らして-にてらして-ni-terashite-meaning/
にとどまらず,Vる・N＋...,"A-1 no es unicamente A, tambien es B（だけでなく）",ケーキを作りは単なる趣味にとどまらず、自分の店を開くまでになった,https://jlptsensei.com/learn-japanese-grammar/にとどまらず-ni-todomarazu-meaning/
には無理がある,Vる・N＋...,A es poco realista/dificil de llevar a cabo,やはりこの予定には無理があると思いました,https://jlptsensei.com/learn-japanese-grammar/には無理がある-にはむりがある-ni-wa-muri-ga-aru-meaning/
によらず,N＋...,"Independientemente de A, B (Tenieno en cuenta A, B no tiene sentido)",君は見かけによらずよく食べるね,https://jlptsensei.com/learn-japanese-grammar/によらず-ni-yorazu-meaning/
に~を重ねて,N＋に＋N＋...,"Tras A una otra vez, B (A se ha realizado mucho pala lograr B)",勉強に勉強を重ねて、ようやくN1に合格できた,https://jlptsensei.com/learn-japanese-grammar/に～を重ねて-ni-o-kasanete-meaning/
にもほどがある,N＋...,Hay un limite para A (Criticar algo excesivo),彼の態度は失礼にもほどがある,https://jlptsensei.com/learn-japanese-grammar/にも程がある-にもほどがある-nimo-hodo-ga-aru-meaning/
にも増して,N＋...,A-1 es aun mas B que A (より),今日はいつもにも増して寒いし早く帰りたいです,https://jlptsensei.com/learn-japanese-grammar/にも増して-にもまして-nimo-mashite-meaning/
には当たらない,Vる・N（する）＋...,No es necesario A (No se requiere una reaccion exagerada),多少ミスしたくらいでは心配に当たらない,https://jlptsensei.com/learn-japanese-grammar/には当たらない-にはあたらない-niwa-ataranai-meaning/
には及ばない,Vる・N（する）＋...,No es necesario A (No se requiere hacerlo),タクシーで帰るので、ご心配には及びません,https://jlptsensei.com/learn-japanese-grammar/には及ばない-にはおよばない-niwa-oyobanai-meaning/
の至り,N＋...,Extremadamente/Muy A,こんな素晴らしい賞をいただいて、光栄の至りです,https://jlptsensei.com/learn-japanese-grammar/の至り-のいたり-no-itari-meaning/
の極み,N＋...,Extremadamente/Muy A,優勝できて、感激の極みです,https://jlptsensei.com/learn-japanese-grammar/の極み-no-kiwami-meaning/
のなんのって,Vる・A＋...,Exageradamente A (Tanto que no te lo puedes ni imaginar),このカレーは辛いのなんのって、全然食べられなかった,https://jlptsensei.com/learn-japanese-grammar/のなんのって-no-nan-notte-meaning/
のやら・ものやら・ことやら,（Pregunta）Vる・N＋な・A＋...,Me pregunto si A... (No lo se),息子は大学を卒業したのに、仕事もせずに何をやっているのやら,
のやら~のやら,（Pregunta）Vる・N＋な・A＋...,Me pregunto si A o sera que B... (No lo se),バスに間に合ったのやら間に合わなかったのやら,https://jlptsensei.com/learn-japanese-grammar/のやら～のやら-no-yara-no-yara/
を踏まえて,N＋...,"Basado en A, B (をもとにして・に基づいて pero mas formal)",集めたデータを踏まえてレポートを作成します,https://jlptsensei.com/learn-japanese-grammar/を踏まえて-をふまえて-o-fumaete-meaning/
を経て,N＋...,"A traves de/Pasando por A, B (を通じて pero mas formal)",様々な海外での経験を経て、彼は成長した,https://jlptsensei.com/learn-japanese-grammar/を経て-をへて-o-hete-meaning/
を控えて・に控えて,N＋を控えて｜N＋を・が＋N＋に控えて,"Debido a A aproximandose (En X), B",妹は結婚を明後日に控えて、不安で眠れない様子だ,https://jlptsensei.com/learn-japanese-grammar/を控えて-をひかえて-o-hikaete-meaning/
をいいことに,Vる（Noた）・A＋の・N＋...,"Aprovechandose de A, se hace B (Algo malo o criticable)",私が知らないをいいことに彼は私をだました,https://jlptsensei.com/learn-japanese-grammar/をいいことに-o-ii-koto-ni-meaning/
を顧みず・も顧みず,N＋...,"Sin cosiderar A, se hace B (Algo malo o criticable)",医者の忠告を顧みず、お酒を飲んだ,https://jlptsensei.com/learn-japanese-grammar/を顧みず-も顧みず-をかえりみず-mo-kaerimizu-meaning/
を限りに・限りで,N＋...,"A partir de A (Punto temporal), B (Formal)",今学期を限りに、この学校を辞めます,https://jlptsensei.com/learn-japanese-grammar/を限りに-o-kagiri-ni-meaning/
を兼ねて・も兼ねて,N＋...,B se hace tambien con el proposito de A,日本語の勉強を兼ねて、スーパーでアルバイトをしています,https://jlptsensei.com/learn-japanese-grammar/を兼ねて-をかねて-o-kanete-meaning/
を皮切りに,N＋...,"Empezando por/A partir de A, B (Para eventos, lanzamientos, giras, etc.) (Formal)",彼女の店は名古屋で成功したのを皮切りに、各地に次々と成功を収めた,https://jlptsensei.com/learn-japanese-grammar/を皮切りに-をかわきりに-o-kawakiri-ni-meaning/
を機に,Vる＋の・N＋...,"Aprovechando la oportunidad de A, se comienza a hacer B",会社を辞めたのを機に、サイクリングを始めた,https://jlptsensei.com/learn-japanese-grammar/を機に-をきに-o-ki-ni-meaning/
を禁じ得ない,N＋...,No se puede evitar/reprimir A (Emocion o reaccion),彼の不幸な人生には、同情を禁じ得ない,https://jlptsensei.com/learn-japanese-grammar/を禁じ得ない-をきんじえない-o-kinji-enai-meaning/
をものともせずに,N＋...,"Desafiando/Sin dejarse intimidar por A, B (Positivo) (Hablar de terceros)",周囲の反対をものともせずに二人は結婚した,https://jlptsensei.com/learn-japanese-grammar/をものともせずに-o-mono-tomo-sezuni-meaning/
をもって・をもちまして,N＋...,"Medio: Con/ Mediante A, B｜Tiempo: A partir de A, B",彼女の実力をもってすれば、成功するだろう,https://jlptsensei.com/learn-japanese-grammar/をもって-をもちまして-o-motte-o-mochimashite-meaning/
をおいて~ない,N＋をおいて＋sentence（ない）,No hay otro como A para B (A es insustituible),彼をおいてこの仕事を任せる人はいないだろう,https://jlptsensei.com/learn-japanese-grammar/jlpt-n1-grammar-をおいて～ない-o-oitenai-meaning/
をおいてほかにない,N＋...,A es la mejor opcion/insustituible,ぞの分野を学びたいなら、この大学をおいてほかにない,https://jlptsensei.com/learn-japanese-grammar/jlpt-n1-grammar-をおいて～ない-o-oitenai-meaning/
を押して,N＋...,"A pesar de/Superando A, B (Dificultades o riesgos)",コーチの反対を押して怪我をしているのに試合に出した,https://jlptsensei.com/learn-japanese-grammar/を押して-を押し切って-をおしきって-o-oshite-o-oshikitte-meaning/
を押し切って,N＋...,"Contra la oposicion de A, B (Oposicion directa)",障害を押し切って目的のことをしてください,https://jlptsensei.com/learn-japanese-grammar/を押して-を押し切って-をおしきって-o-oshite-o-oshikitte-meaning/
を境に,N＋...,"A partir de/Desde A, B (Principio de un gran cambio)",妻は妊娠を境に、タバコを辞めました,https://jlptsensei.com/learn-japanese-grammar/を境にして-をさかいに-o-sakai-ni-meaning/
を余儀なくされる,N＋...,"Debido a A-1, se ve obligado a A (No hay mas opcion)",大きなミスをしたために、彼は辞職を余儀なくされた,https://jlptsensei.com/learn-japanese-grammar/を余儀なくされる-をよぎなくされる-o-yogi-naku-sareru-meaning/
をよそに,N＋...,"Sin importar/Ignorando A, hacer B",親を心配をよそに一人旅に出かけた,https://jlptsensei.com/learn-japanese-grammar/をよそに-o-yoso-ni-meaning/
を前提として・を前提にして・を前提で,N＋...,Con la premisa de A,私たちは結婚を前提として付き合っています,https://jlptsensei.com/learn-japanese-grammar/を前提として-o-zentei-toshite-meaning/
思いをする,A＋...,"Cuando A-2, (A-1) se siente/piensa A",歯医者に行くたびに僕は痛い思いをする,https://jlptsensei.com/learn-japanese-grammar/%e6%80%9d%e3%81%84%e3%82%92%e3%81%99%e3%82%8b-%e3%81%8a%e3%82%82%e3%81%84%e3%82%92%e3%81%99%e3%82%8b-omoi-o-suru-meaning/
折に,N＋の・V＋...,"Cuando A, B (Como 時に, pero formal)",お暇の折には是非遊びに来てください,https://jlptsensei.com/learn-japanese-grammar/%e6%8a%98%e3%81%ab-%e3%81%8a%e3%82%8a%e3%81%ab-ori-ni-meaning/
およそ,... + sentence,Aproximadamente B,およそこの花瓶はどれぐらいの価値がありますか,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8a%e3%82%88%e3%81%9d-oyoso-meaning/
さも,... + algo +そう・よう,A-1 hace B como si realmente/muy A (Exagera el そう・よう),彼はさも美味しそうにビールを飲みました,https://jlptsensei.com/learn-japanese-grammar/%e7%84%b6%e3%82%82-%e3%81%95%e3%82%82-samo-meaning/
さもないと・さもなければ,sentence + ... + sentence,"Si no A, ocurrira B (Algo malo) (Igual que しないと)",急ぎなさい！さもないと学校に遅れるでしょう,https://jlptsensei.com/learn-japanese-grammar/%e3%81%95%e3%82%82%e3%81%aa%e3%81%84%e3%81%a8-samonaito-meaning/
さぞ（かし）,... + sentence,Seguramente/Me imagino que B (Suposiciones) (Se suele ver だろう・でしょう),お父さんが病気になって、さぞご心配だろう,https://jlptsensei.com/learn-japanese-grammar/%e5%98%b8-%e3%81%95%e3%81%9e%e3%81%8b%e3%81%97-sazo-kashi-meaning/
始末だ,N＋の・V＋...,Termino por/Llegar al punto de A,うちの娘は、ダイエットのすぎで病気になり、入院する始末だ,https://jlptsensei.com/learn-japanese-grammar/%e5%a7%8b%e6%9c%ab%e3%81%a0-%e3%81%97%e3%81%be%e3%81%a4%e3%81%a0-shimatsu-da-meaning/
そばから,Vる・Vた＋...,"Justo despues de A, B (Contexto negativo, frustacion)",名前を聞いたそばから忘れてしまう,https://jlptsensei.com/learn-japanese-grammar/%e3%81%9d%e3%81%b0%e3%81%8b%e3%82%89-soba-kara-meaning/
そびれる,Vます（ます）＋...,Perder la oportunidad de A (No se puede hacer A),遅刻して飛行機に乗りそびれた,https://jlptsensei.com/learn-japanese-grammar/%e3%81%9d%e3%81%b3%e3%82%8c%e3%82%8b-sobireru-meaning/
損なう・損ねる・損じる,Vます（ます）＋...,Fallar en/Estropear A (A se hace mal),逃げた飼い犬を捕まえ損ねた,https://jlptsensei.com/learn-japanese-grammar/%e6%90%8d%e3%81%aa%e3%81%86-%e6%90%8d%e3%81%ad%e3%82%8b-%e6%90%8d%e3%81%98%e3%82%8b-sokonau-sokoneru-sonjiru-meaning/
術がない,Vる＋...,No hay forma de/No hay solucion para A (Imposible),こんな壊れては、もう直す術がない,https://jlptsensei.com/learn-japanese-grammar/%e8%a1%93%e3%81%8c%e3%81%aa%e3%81%84-%e3%81%99%e3%81%b9%e3%81%8c%e3%81%aa%e3%81%84-sube-ga-nai-meaning/
すら・ですら,N＋...,"Incluso/Ni siquiera A, B (Sorpesa/Incredulidad)",こんな問題、子供すら分かるよ,https://jlptsensei.com/learn-japanese-grammar/%e3%81%99%e3%82%89-%e3%81%a7%e3%81%99%e3%82%89-de-sura-meaning/
た弾みに・た拍子に,Vた＋...,"En el momento de A, insperadamente/accidentalmente ocurre B (En pasado)",くしゃみをした拍子に眼鏡が落ちた,https://jlptsensei.com/learn-japanese-grammar/%e3%81%9f%e5%bc%be%e3%81%bf%e3%81%ab-%e3%81%9f%e6%8b%8d%e5%ad%90%e3%81%ab-ta-hazumi-ni-ta-hyoushi-ni-meaning/
（という）ことにする,Vた・N＋だ・Aな・Aい（た）＋...,Pretender/Fingir que A,この話は聞かなかったことにしてください,https://jlptsensei.com/learn-japanese-grammar/%e3%81%9f%e3%81%93%e3%81%a8%e3%81%ab%e3%81%99%e3%82%8b-%e3%81%9f%e3%81%93%e3%81%a8%e3%81%ab%e3%81%aa%e3%82%8b-ta-koto-ni-suru-ta-koto-ni-naru-meaning/
（という）ことになる,Vた・N＋だ・Aな・Aい（た）＋...,Considerar/Dar por hecho que A,このままでは、約束を破ったことになる,https://jlptsensei.com/learn-japanese-grammar/%e3%81%9f%e3%81%93%e3%81%a8%e3%81%ab%e3%81%99%e3%82%8b-%e3%81%9f%e3%81%93%e3%81%a8%e3%81%ab%e3%81%aa%e3%82%8b-ta-koto-ni-suru-ta-koto-ni-naru-meaning/
たところで,Vた＋...,"Aunque/Por mucho que A, B no cambia",どんなに走ったところで、絶対に間に合わないだろう,https://jlptsensei.com/learn-japanese-grammar/%e3%81%9f%e3%81%a8%e3%81%93%e3%82%8d%e3%81%a7-ta-tokoro-de-meaning/
ただ~のみだ,Vる・N・Aな・Aい＋...,Solo/Unicamente queda B (Solo existe una posibilidad o cosa),今はただみんなの無事を祈るのみです,https://jlptsensei.com/learn-japanese-grammar/%e3%81%9f%e3%81%a0%ef%bd%9e%e3%81%ae%e3%81%bf%e3%81%a0-tada-nomi-da-meaning/
ためしがない,Vた＋...,A nunca ha ocurrido (Puedes hablar tanto de ti como de otros),彼女は約束の時間を守ったためしがない,https://jlptsensei.com/learn-japanese-grammar/%e3%81%9f%e3%82%81%e3%81%97%e3%81%8c%e3%81%aa%e3%81%84-tameshi-ga-nai-meaning/
たら最後・たが最後,Vた＋...,"Una vez que A, ocurrira B (No hay vuelta atras) (Resultado negativo)",あの人にお金を貸したら最後、二度とを返してもらえませんでしょう,https://jlptsensei.com/learn-japanese-grammar/%e3%81%9f%e3%82%89%e6%9c%80%e5%be%8c-%e3%81%9f%e3%81%8c%e6%9c%80%e5%be%8c-%e3%81%9f%e3%82%89%e3%81%95%e3%81%84%e3%81%94-tara-saigo-meaning/
たら~たで,N＋なら・Aな＋なら・Aい（かったら）・Vた＋...,"Incluso si A llega a pasar, siempre se puede B (Hay solucion o alternativa)",試験に落ちたら落ちたで、また来年受けるだけだ,https://jlptsensei.com/learn-japanese-grammar/%e3%81%9f%e3%82%89%ef%bd%9e%e3%81%9f%e3%81%a7-tara-tade-meaning/
たりとも~ない,"１＋(日, 分, 秒, 円, 匹, etc)＋たりとも＋sentence（ない）","Ni siquiera 1 A, B (Formal)",彼は１日たりとも、学校休んだことがない,https://jlptsensei.com/learn-japanese-grammar/%e3%81%9f%e3%82%8a%e3%81%a8%e3%82%82%ef%bd%9e%e3%81%aa%e3%81%84-tari-tomo-nai-meaning/
たるもの・たる,N＋...,"Alguien que es A, se espera que B (Expectativas a un cargo)",医者たるもの、患者の命を優先に考えるべきだ,https://jlptsensei.com/learn-japanese-grammar/%e3%81%9f%e3%82%8b%e3%82%82%e3%81%ae-%e3%81%9f%e3%82%8b-taru-mono-meaning/
て敵わない,Aな＋で・Aい（いくて）・Vて＋...,A es insoportable/no se puede aguantar,隣の工事がうるさくて敵わない,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a6%e6%95%b5%e3%82%8f%e3%81%aa%e3%81%84-%e3%81%a6%e3%81%8b%e3%81%aa%e3%82%8f%e3%81%aa%e3%81%84-te-kanawanai-meaning/
てからというもの,Vて＋...,"Desde que/A partir de A, B",新学期が始まってからというもの、とっても忙しいの,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a6%e3%81%bf%e3%81%9b%e3%82%8b-te-miseru-meaning/
てしかるべきだ,Vて＋...,"Se deberia/Seria apropiado que A (Como べき, pero mas formal)",後輩なら先輩に敬語を使ってしかるべきだ,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a6%e3%81%97%e3%81%8b%e3%82%8b%e3%81%b9%e3%81%8d%e3%81%a0-te-shikaru-beki-da-meaning/
て済むことでわない,N＋で・Vて＋...,A-1 no va a ser resuleto solo con A (Problema),それは謝罪と賠償だけで済むことでわない,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a6%e6%b8%88%e3%82%80%e3%81%93%e3%81%a8%e3%81%a7%e3%81%af%e3%81%aa%e3%81%84-te-sumu-koto-dewa-nai-meaning/
てやまない,Vて＋...,A sin cesar/no tiene fin/hasta el infinito (Sentimientos muy intensos),僕は君たちの合格を願ってやまない,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a6%e3%82%84%e3%81%be%e3%81%aa%e3%81%84-te-yamanai-meaning/
手前,N＋の・Vる＋...,En consideracion a/Delante de A,ジムで働いてる手前、太るわけにはいかない,https://jlptsensei.com/learn-japanese-grammar/%e6%89%8b%e5%89%8d-%e3%81%a6%e3%81%be%e3%81%88-temae-meaning/
てもどうにもならない,Vて＋...,Aunque se haga A no valdra para nada (No tiene sentido/No hay razon para ello),過ぎたことを後悔してもどうにもならない,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a6%e3%82%82%e3%81%a9%e3%81%86%e3%81%ab%e3%82%82%e3%81%aa%e3%82%89%e3%81%aa%e3%81%84-temo-dou-ni-mo-naranai-meaning/
ても差し支えない,N＋で・Aな＋で・Aい（いくて）・Vて＋...,No hay problema/Esta bien si A (A es una opcion valida),お返事は明日でも差し支えない,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a6%e3%82%82%e5%b7%ae%e3%81%97%e6%94%af%e3%81%88%e3%81%aa%e3%81%84-%e3%81%a6%e3%82%82%e3%81%95%e3%81%97%e3%81%a4%e3%81%8b%e3%81%88%e3%81%aa%e3%81%84-temo-sashitsukaenai-meaning/
ても知らない,Vて＋...,"si A, a mi no me digas/Yo no me hago cargo",早く起きなさい。間に合わなくても知らない,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a6%e3%82%82%e7%9f%a5%e3%82%89%e3%81%aa%e3%81%84-temo-shiranai-meaning/
と相まって,N＋と・が・も＋（N）＋相まって,"Junto con A (y B), C",空の青と相まって、紅葉がより美しく見える,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e7%9b%b8%e3%81%be%e3%81%a3%e3%81%a6-%e3%81%a8%e3%81%82%e3%81%84%e3%81%be%e3%81%a3%e3%81%a6-to-aimatte-meaning/
とあれば,N・Aな・Aい・Vる＋...,"Si es por/En caso de A, se hace B (Caso especial, decision o compromiso)",必要とあれば、力を貸します,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%82%e3%82%8c%e3%81%b0-to-areba-meaning/
とあって,N・Aな・Aい・Vる＋...,"Dado/Debido a que A, B (como だから)",今日は休日とあって、交通が渋滞する,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%82%e3%81%a3%e3%81%a6-to-atte-meaning/
とばかりに,sentence + ... ,B se hace como si quisiera decir A,彼は出て行けとばかりに、ドアを開けた,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%b0%e3%81%8b%e3%82%8a%e3%81%ab-to-bakari-ni-meaning/
といえども,N・Aな・Aい・Vる＋...,"Incluso A, B (A pesar de A el resultado no cambia)",プロといえども、失敗することだってある,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%84%e3%81%88%e3%81%a9%e3%82%82-to-ie-domo-meaning/
と言えなくもない,N・Aな・Aい・Vる＋...,Podria decirse que/No se puede decir que no A,今朝のはこの冬一番の積雪と言えなくもない,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e8%a8%80%e3%81%88%e3%81%aa%e3%81%8f%e3%82%82%e3%81%aa%e3%81%84-to-ienaku-mo-nai-meaning/
といい~といい,N＋ ... ＋N＋ ... ,Tanto A como B (Dos aspectos notables e importantes) (Malo o bueno),運動といい勉強といい、私は何をやってもダメだ,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%84%e3%81%84%ef%bd%9e%e3%81%a8%e3%81%84%e3%81%84-to-ii-to-ii-meaning/
（とい）ったらない,N・Aな・Aい・Vる＋...,No hay palabras para describir A (Enfasis o exageracion),みんなの前で転んで、恥ずかしいったらなかった,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%84%e3%81%a3%e3%81%9f%e3%82%89%e3%81%aa%e3%81%84-to-ittara-nai-meaning/
という,N＋ ... ＋N,Todas A sin excepcion,津波によって家という家が全て流されてしまった,https://jlptsensei.com/learn-japanese-grammar/n1-%e3%81%a8%e3%81%84%e3%81%86-to-iu-meaning-all-every/
というもの,N＋ ...,"Durante A, B (Parecido a の間に, pero mas reflexivo y formal)",この一週間というもの、そればっかりです,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%84%e3%81%86%e3%82%82%e3%81%ae-to-iu-mono-meaning/
というところだ・といったところだ,N＋ ...,Alrededor de/No mas de A (Cercanos al limite maximo),彼女は多くて見ても二十歳というところだ,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%84%e3%81%86%e3%81%a8%e3%81%93%e3%82%8d%e3%81%a0-%e3%81%a8%e3%81%84%e3%81%a3%e3%81%9f%e3%81%a8%e3%81%93%e3%82%8d%e3%81%a0-iu-tokoro-da-meaning/
というわけだ,sentence + ... ,"En resumen, A (Para concluir y resumir)",それが私たちの目標というわけだ,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%84%e3%81%86%e3%82%8f%e3%81%91%e3%81%a0-to-iu-wake-da-%e3%81%a8%e3%81%84%e3%81%86%e3%82%8f%e3%81%91%e3%81%a7%e3%81%99-meaning/
というわけではない,sentence + ... ,No se puede resumir como/No quiere decir que A,それは全く噓というわけではない,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%84%e3%81%86%e3%82%8f%e3%81%91%e3%81%a7%e3%81%af%e3%81%aa%e3%81%84-to-iu-wake-dewa-nai-meaning/
といわず~といわず,N＋ ... ＋N＋ ... ,"Ya se trate de A o B, C (Tanto a como B)",顔といわず、手といわず泥まみれだ,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%84%e3%82%8f%e3%81%9a%ef%bd%9e%e3%81%a8%e3%81%84%e3%82%8f%e3%81%9a-to-iwazu-to-iwazu-meaning/
ときている,N・Aな・Aい・Vる＋...,"Porque/Debido a que A, B (Se acompaña de ので・だから）",料理が美味しい上にサービスもいいときているから、客はいつも多い,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%bf%e3%82%8b%e3%81%a8-to-miru-to-meaning/
とみると,N・Aな・Aい・Vる＋...,"En cuanto se percibe/Tan pronto como se da cuenta de A, B",同僚は問題がちょっと難しいとみると、自分で考えないで人に聞く,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%bf%e3%82%8b%e3%81%a8-to-miru-to-meaning/
となると・となれば,N・Aな・Aい・Vる＋...,"Si se trata de/En caso de A, B",今年、JLPTN1を受けるとなると、今の2倍は勉強しなければならない,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%aa%e3%82%8b%e3%81%a8-%e3%81%a8%e3%81%aa%e3%82%8c%e3%81%b0-%e3%81%a8%e3%81%aa%e3%81%a3%e3%81%9f%e3%82%89-to-naru-to-nareba-meaning/
とされる・とされている,sentence + ... ,A-1 se considera/es reconocido como A,彼のやったことは法律違反とされる,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%95%e3%82%8c%e3%82%8b-%e3%81%a8%e3%81%95%e3%82%8c%e3%81%a6%e3%81%84%e3%82%8b-to-sareru-meaning/
ときたら,N＋ ... ,"En cuanto a A, B (Expresar sorpresa/admiracion/frustracion)",私の息子ときたら、もうすぐ試験なのに遊んでいるばかりいるんですよ,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%8d%e3%81%9f%e3%82%89-tokitara-meaning/
ところを,N＋の・Aな・Aい・Vる＋...,"Justo cuando/Mientras A, B (Interrupcion o cambio)",忙しいところをお集まりいただき、ありがとうございます,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%93%e3%82%8d%e3%82%92-tokoro-o-meaning/
ともあろうものが,N＋ ... ,"De todos, alguien como A, B (Mal comportamiento de alguien importante)",社長ともあろうものが、遅刻なんてあり得ないよ,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%82%82%e3%81%82%e3%82%8d%e3%81%86%e3%82%82%e3%81%ae%e3%81%8c-tomo-arou-mono-ga-meaning/
ともなく・ともなしに,Vる＋...｜疑問詞＋...,A se hace sin intencion particular｜No se esta claro de A (2 significados),休みの日にはどこへ行くともなしにドライブすることが多い,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%82%82%e3%81%aa%e3%81%8f-%e3%81%a8%e3%82%82%e3%81%aa%e3%81%97%e3%81%ab-tomo-naku-meaning/
ともすれば,... + sentence,A tiene la tendencia de/a menudo B,政府はともすればマスメディアを統制すたがる,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%82%82%e3%81%99%e3%82%8c%e3%81%b0-tomo-sureba-meaning/
とも~とも,N・A・Vる＋ ... ＋N・A・Vる＋ ... ,No se puede decir/juzgar si A o B,それは正しいとも、間違っているとも言えない,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%82%82%ef%bd%9e%e3%81%a8%e3%82%82-tomo-tomo-meaning/
とりわけ,... + sentence,(A) En particular/Especialmente B,彼女はとりわけ音楽が好き,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%82%8a%e3%82%8f%e3%81%91-toriwake-meaning/
としたことが,N＋ ... ,"Para ser A, B (Decepcion o sorpesa ante una accion inesperada)",大学生としたことが、こんな問題も答えられないなんて,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%97%e3%81%9f%e3%81%93%e3%81%a8%e3%81%8c-toshita-koto-ga-meaning/
とっさに,... + sentence,(Cuando A) Instantaneamente/de inmediato B (Accion/Reflejo rapido),地震が起きた時にとっさにテーブルの下に逃げた,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%a3%e3%81%95%e3%81%ab-tossa-ni-meaning/
とて,N＋ ... ,"Incluso A, B (No hay excepcion)",母親とて、彼の本当の気持ちは理解できないだろう,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%a6-tote-particle-meaning/
とは,N・Aな・Aい・Vる＋...,"Que A (, B) (Expresar sorpresa o incrudulidad ante algo)",妹の結婚式に出られないとは、残念な限りだ,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%af-towa-meaning/
とはいえ,N・Aな・Aい・Vる＋...,"Aunque A, B (Se usa para reconocer verdades)",教師とはいえ、答えられないこともある,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%af%e3%81%84%e3%81%88-towa-ie-meaning/
とは比べものにならない,N＋ ... ,A no es comparable con A-1 (Estan en niveles diferentes),私の料理は母の料理とは比べものにならない,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%af%e6%af%94%e3%81%b9%e3%82%82%e3%81%ae%e3%81%ab%e3%81%aa%e3%82%89%e3%81%aa%e3%81%84-towa-kurabemono-ni-naranai-meaning/
とは打って変わって・とは打って変わり,N＋ ... ,"Al contrario que A, B (B y A son completamente opuestos)",父は若い時とは打って変わって、とても優しくになった,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%af%e6%89%93%e3%81%a3%e3%81%a6%e5%a4%89%e3%82%8f%e3%81%a3%e3%81%a6-%e3%81%a8%e3%81%af%e6%89%93%e3%81%a3%e3%81%a6%e5%a4%89%e3%82%8f%e3%82%8a-towa-utte-kawatte-meaning/
つ~つ,Vます（ます）＋ ... ＋Vます（ます）,A y B (Alternando A y B) (Dos acciones que se realizan alternativamente),どうしても欲しいゲームがあって、店の前を行きつ戻りつした,https://jlptsensei.com/learn-japanese-grammar/%E3%81%A4%EF%BD%9E%E3%81%A4-tsu-tsu-meaning/
尽くす,Vます（ます）＋ ...,A se hace hasta agotarse/el fin (Dedicacion completa),私は常に自分のベストをし尽くすようにしている,https://jlptsensei.com/learn-japanese-grammar/%E5%B0%BD%E3%81%8F%E3%81%99-%E3%81%A4%E3%81%8F%E3%81%99-tsukusu-meaning/
ってば・ったら,sentence + ... ,"A ya se sabe/ha dicho (Molestia)｜Cuando se trada de A, B (Suele ser malo)",本当だってば。彼女を見たんだ！,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a3%e3%81%a6%e3%81%b0-%e3%81%a3%e3%81%9f%e3%82%89-tteba-ttara-meaning/
にうちに入らない,N＋の・Aな・Aい・Vる＋...,A-1 no cuenta como/no se puede decir que sea A,日本語はちょっと難しいですが、世界で一番難しいの言語のうちに入らない,
